"Date","dogeVol","dogeDiff","dogeDiff.p","dogeVolDiff.p","teslaVol","teslaDiff","teslaDiff.p","teslaVolDiff.p"
2017-11-10,4246520,-0.000258,-0.181562280084448,-0.321593405276737,23127000,0.097999999999999,0.00161983471074378,-0.15085091149419
2017-11-11,2231080,5.49999999999999e-05,0.0479930191972076,-0.474609798140595,NA,NA,NA,NA
2017-11-12,3288960,-0.000151,-0.12699747687132,0.474156014127687,NA,NA,NA,NA
2017-11-13,2481270,0.000165,0.15774378585086,-0.245576109165207,37924500,3.054001,0.050877968698931,0.639836554676352
2017-11-14,2660340,-1.70000000000001e-05,-0.0141548709408827,0.0721686878090655,28380500,-1.259998,-0.0199999682539683,-0.251657899247189
2017-11-15,2840180,0.00015,0.126156433978133,0.0676003819060722,29893500,1.057998,0.0172869840854875,0.0533112524444601
2017-11-16,3423010,4.19999999999999e-05,0.0311572700296735,0.205208824792795,29110500,-0.298000000000002,-0.00474537405649864,-0.0261929850970947
2017-11-17,2787480,-6.80000000000001e-05,-0.049239681390297,-0.185664079275258,68675500,-2.124005,-0.032609772195331,1.35913158482335
2017-11-18,1648260,6.50000000000002e-05,0.0496941896024466,-0.408691721554953,NA,NA,NA,NA
2017-11-19,1431720,2.1e-05,0.0154981549815498,-0.131374904444687,NA,NA,NA,NA
2017-11-20,2141360,2.00000000000001e-05,0.0145560407569142,0.495655575112452,41238500,-1.009998,-0.0160935341485313,-0.39951656704356
2017-11-21,3047660,-2.1e-05,-0.0148936170212766,0.423235700676206,36306500,1.389999,0.0223573148305134,-0.119596978551596
2017-11-22,18841700,0.000422,0.301213418986438,5.18234973717541,24588000,-0.833999999999996,-0.0131641253906619,-0.322765895913955
2017-11-23,26126500,7.2e-05,0.0395821880153931,0.386631779510341,NA,NA,NA,NA
2017-11-24,9585960,-3.20000000000001e-05,-0.0164948453608248,-0.633094367787496,16220500,0.352001999999999,0.0056088786387214,-0.340308280462014
2017-11-25,5430930,0.000149,0.077483099323973,-0.433449544959503,NA,NA,NA,NA
2017-11-26,7670430,-4.70000000000002e-05,-0.0226724553786783,0.412360313979374,NA,NA,NA,NA
2017-11-27,6185790,-1.09999999999997e-05,-0.00550275137568771,-0.193553686038462,22779500,0.711998000000001,0.0113646923746307,0.40436484695293
2017-11-28,8317540,0.000372,0.186840783525866,0.344620493097891,24747500,0.237999000000002,0.00376152174360734,0.0863934678109704
2017-11-29,11077200,-0.000253,-0.108444063437634,0.331788004626368,43837000,-1.95200000000001,-0.0307595340491576,0.771370845539953
2017-11-30,4919490,3.10000000000002e-05,0.0151367187500001,-0.555890477738057,21758000,0.0579980000000049,0.000939817184994337,-0.503661290690513
2017-12-01,5258110,9.70000000000003e-05,0.0472940029254024,0.0688323383114916,21464500,0.217998999999999,0.00356860588710374,-0.0134892912951558
2017-12-02,4978180,2.69999999999997e-05,0.0127238454288406,-0.0532377603359382,NA,NA,NA,NA
2017-12-03,4751640,0.000131,0.0626195028680688,-0.0455065907620857,NA,NA,NA,NA
2017-12-04,6307150,0.000257,0.116500453309157,0.327362763172294,29175500,-0.259998000000003,-0.00424140300556943,0.359244333667218
2017-12-05,8772420,4.9999999999998e-06,0.00202101859337098,0.390869093013485,23232500,0.339999999999996,0.00562913888645229,-0.203698308512279
2017-12-06,9047960,0.000168,0.0673346693386774,0.0314098048201067,35976500,2.632,0.0438520493168943,0.548541913268051
2017-12-07,15759300,0.000139,0.053855094924448,0.741751731882104,23903000,-0.152000999999998,-0.00243591338346429,-0.335594068350173
2017-12-08,11797600,4.9e-05,0.017948717948718,-0.251388069267036,17342500,0.106003000000001,0.00168472669055077,-0.274463456469899
2017-12-09,6564530,-0.000155,-0.055916305916306,-0.443570726249407,NA,NA,NA,NA
2017-12-10,5614920,-6.00000000000002e-05,-0.0230149597238205,-0.144657728733055,NA,NA,NA,NA
2017-12-11,7017140,0.000235,0.0916894264533749,0.249731073639518,39690000,2.855999,0.0453866294597882,1.28859737638749
2017-12-12,19228600,0.00051,0.182534001431639,1.74023320042068,43666000,2.116005,0.03201702418018,0.100176366843034
2017-12-13,31150900,0.000155,0.0468844525105869,0.620029539332037,31107500,-0.379997000000003,-0.00557294777107979,-0.287603627536298
2017-12-14,23426200,0.00026,0.0753841693244419,-0.247976783977349,28999500,-0.624000000000009,-0.00914929140717479,-0.0677650084384795
2017-12-15,19043800,9.20000000000001e-05,0.0250681198910082,-0.187072593933288,34666000,0.282005000000012,0.00412239814593625,0.195399920688288
2017-12-16,136352992,0.002166,0.574993363419166,6.15996765351453,NA,NA,NA,NA
2017-12-17,99417200,6.69999999999994e-05,0.0113233057292546,-0.270883619480825,NA,NA,NA,NA
2017-12-18,44158800,0.000495000000000001,0.0833614011451668,-0.55582333841629,27381000,-1.206001,-0.0174833422376047,-0.210148272082155
2017-12-19,38885700,-0.000736,-0.11496407372696,-0.119412212288377,34125000,-1.83200100000001,-0.026920604040422,0.246302180344034
2017-12-20,67820000,0.001042,0.185442249510589,0.744085872184376,29769000,-0.742004000000009,-0.0111515822191356,-0.127648351648352
2017-12-21,159154000,0.000692,0.1027773652161,1.34671188439988,21926000,0.414002000000011,0.00628056079190163,-0.263461990661426
2017-12-22,63693900,-0.001332,-0.18034118602762,-0.599797051911985,21079000,-0.861998999999997,-0.0130800127461989,-0.0386299370610234
2017-12-23,70143104,0.001124,0.18321108394458,0.101253087030312,NA,NA,NA,NA
2017-12-24,143767008,0.0013,0.17852238396045,1.04962426527346,NA,NA,NA,NA
